leccionId,titulo,descripcion,duracionMin,numero,moduloId
L00145,Lección 2 de M0042,Contenido de la lección 2 del M0042,12,2,M0042
L00146,Lección 3 de M0042,Contenido de la lección 3 del M0042,12,3,M0042
L00147,Lección 4 de M0042,Contenido de la lección 4 del M0042,12,4,M0042
L00148,Lección 1 de M0043,Contenido de la lección 1 del M0043,15,1,M0043
L00149,Lección 2 de M0043,Contenido de la lección 2 del M0043,6,2,M0043
L00150,Lección 3 de M0043,Contenido de la lección 3 del M0043,12,3,M0043
L00151,Lección 1 de M0044,Contenido de la lección 1 del M0044,6,1,M0044
L00152,Lección 2 de M0044,Contenido de la lección 2 del M0044,15,2,M0044
L00153,Lección 3 de M0044,Contenido de la lección 3 del M0044,8,3,M0044
L00154,Lección 4 de M0044,Contenido de la lección 4 del M0044,15,4,M0044
L00155,Lección 1 de M0045,Contenido de la lección 1 del M0045,6,1,M0045
L00156,Lección 2 de M0045,Contenido de la lección 2 del M0045,8,2,M0045
L00157,Lección 3 de M0045,Contenido de la lección 3 del M0045,8,3,M0045
L00158,Lección 1 de M0046,Contenido de la lección 1 del M0046,6,1,M0046
L00159,Lección 2 de M0046,Contenido de la lección 2 del M0046,15,2,M0046
L00160,Lección 3 de M0046,Contenido de la lección 3 del M0046,15,3,M0046
L00161,Lección 4 de M0046,Contenido de la lección 4 del M0046,10,4,M0046
L00162,Lección 1 de M0047,Contenido de la lección 1 del M0047,8,1,M0047
L00163,Lección 2 de M0047,Contenido de la lección 2 del M0047,6,2,M0047
L00164,Lección 3 de M0047,Contenido de la lección 3 del M0047,12,3,M0047
L00165,Lección 1 de M0048,Contenido de la lección 1 del M0048,12,1,M0048
L00166,Lección 2 de M0048,Contenido de la lección 2 del M0048,8,2,M0048
L00167,Lección 3 de M0048,Contenido de la lección 3 del M0048,6,3,M0048
L00168,Lección 4 de M0048,Contenido de la lección 4 del M0048,15,4,M0048
L00169,Lección 1 de M0049,Contenido de la lección 1 del M0049,6,1,M0049
L00170,Lección 2 de M0049,Contenido de la lección 2 del M0049,15,2,M0049
L00171,Lección 3 de M0049,Contenido de la lección 3 del M0049,12,3,M0049
L00172,Lección 1 de M0050,Contenido de la lección 1 del M0050,6,1,M0050
L00173,Lección 2 de M0050,Contenido de la lección 2 del M0050,12,2,M0050
L00174,Lección 3 de M0050,Contenido de la lección 3 del M0050,12,3,M0050
L00175,Lección 4 de M0050,Contenido de la lección 4 del M0050,15,4,M0050
L00176,Lección 1 de M0051,Contenido de la lección 1 del M0051,15,1,M0051
L00177,Lección 2 de M0051,Contenido de la lección 2 del M0051,8,2,M0051
L00178,Lección 3 de M0051,Contenido de la lección 3 del M0051,6,3,M0051
L00179,Lección 1 de M0052,Contenido de la lección 1 del M0052,12,1,M0052
L00180,Lección 2 de M0052,Contenido de la lección 2 del M0052,6,2,M0052
L00181,Lección 3 de M0052,Contenido de la lección 3 del M0052,8,3,M0052
L00182,Lección 4 de M0052,Contenido de la lección 4 del M0052,10,4,M0052
L00183,Lección 1 de M0053,Contenido de la lección 1 del M0053,12,1,M0053
L00184,Lección 2 de M0053,Contenido de la lección 2 del M0053,15,2,M0053
L00185,Lección 3 de M0053,Contenido de la lección 3 del M0053,12,3,M0053
L00186,Lección 1 de M0054,Contenido de la lección 1 del M0054,6,1,M0054
L00187,Lección 2 de M0054,Contenido de la lección 2 del M0054,10,2,M0054
L00188,Lección 3 de M0054,Contenido de la lección 3 del M0054,8,3,M0054
L00189,Lección 4 de M0054,Contenido de la lección 4 del M0054,6,4,M0054
L00190,Lección 1 de M0055,Contenido de la lección 1 del M0055,8,1,M0055
L00191,Lección 2 de M0055,Contenido de la lección 2 del M0055,6,2,M0055
L00192,Lección 3 de M0055,Contenido de la lección 3 del M0055,10,3,M0055
L00193,Lección 1 de M0056,Contenido de la lección 1 del M0056,12,1,M0056
L00194,Lección 2 de M0056,Contenido de la lección 2 del M0056,6,2,M0056
L00195,Lección 3 de M0056,Contenido de la lección 3 del M0056,15,3,M0056
L00196,Lección 4 de M0056,Contenido de la lección 4 del M0056,10,4,M0056
L00197,Lección 1 de M0057,Contenido de la lección 1 del M0057,10,1,M0057
L00198,Lección 2 de M0057,Contenido de la lección 2 del M0057,10,2,M0057
L00199,Lección 3 de M0057,Contenido de la lección 3 del M0057,6,3,M0057
L00200,Lección 1 de M0058,Contenido de la lección 1 del M0058,12,1,M0058
L00201,Lección 2 de M0058,Contenido de la lección 2 del M0058,12,2,M0058
L00202,Lección 3 de M0058,Contenido de la lección 3 del M0058,6,3,M0058
L00203,Lección 4 de M0058,Contenido de la lección 4 del M0058,6,4,M0058
L00204,Lección 1 de M0059,Contenido de la lección 1 del M0059,15,1,M0059
L00205,Lección 2 de M0059,Contenido de la lección 2 del M0059,12,2,M0059
L00206,Lección 3 de M0059,Contenido de la lección 3 del M0059,15,3,M0059
L00207,Lección 1 de M0060,Contenido de la lección 1 del M0060,6,1,M0060
L00208,Lección 2 de M0060,Contenido de la lección 2 del M0060,10,2,M0060
L00209,Lección 3 de M0060,Contenido de la lección 3 del M0060,8,3,M0060
L00210,Lección 4 de M0060,Contenido de la lección 4 del M0060,12,4,M0060
L00211,Lección 1 de M0061,Contenido de la lección 1 del M0061,8,1,M0061
L00212,Lección 2 de M0061,Contenido de la lección 2 del M0061,12,2,M0061
L00213,Lección 3 de M0061,Contenido de la lección 3 del M0061,8,3,M0061
L00214,Lección 1 de M0062,Contenido de la lección 1 del M0062,8,1,M0062
L00215,Lección 2 de M0062,Contenido de la lección 2 del M0062,6,2,M0062
L00216,Lección 3 de M0062,Contenido de la lección 3 del M0062,12,3,M0062
L00217,Lección 4 de M0062,Contenido de la lección 4 del M0062,12,4,M0062
L00218,Lección 1 de M0063,Contenido de la lección 1 del M0063,12,1,M0063
L00219,Lección 2 de M0063,Contenido de la lección 2 del M0063,15,2,M0063
L00220,Lección 3 de M0063,Contenido de la lección 3 del M0063,15,3,M0063
L00221,Lección 1 de M0064,Contenido de la lección 1 del M0064,15,1,M0064
L00222,Lección 2 de M0064,Contenido de la lección 2 del M0064,15,2,M0064
L00223,Lección 3 de M0064,Contenido de la lección 3 del M0064,15,3,M0064
L00224,Lección 4 de M0064,Contenido de la lección 4 del M0064,15,4,M0064
L00225,Lección 1 de M0065,Contenido de la lección 1 del M0065,15,1,M0065
L00226,Lección 2 de M0065,Contenido de la lección 2 del M0065,6,2,M0065
L00227,Lección 3 de M0065,Contenido de la lección 3 del M0065,15,3,M0065
L00228,Lección 1 de M0066,Contenido de la lección 1 del M0066,10,1,M0066
L00229,Lección 2 de M0066,Contenido de la lección 2 del M0066,10,2,M0066
L00230,Lección 3 de M0066,Contenido de la lección 3 del M0066,15,3,M0066
L00231,Lección 4 de M0066,Contenido de la lección 4 del M0066,15,4,M0066
L00232,Lección 1 de M0067,Contenido de la lección 1 del M0067,6,1,M0067
L00233,Lección 2 de M0067,Contenido de la lección 2 del M0067,8,2,M0067
L00234,Lección 3 de M0067,Contenido de la lección 3 del M0067,10,3,M0067
L00235,Lección 1 de M0068,Contenido de la lección 1 del M0068,12,1,M0068
L00236,Lección 2 de M0068,Contenido de la lección 2 del M0068,8,2,M0068
L00237,Lección 3 de M0068,Contenido de la lección 3 del M0068,6,3,M0068
L00238,Lección 4 de M0068,Contenido de la lección 4 del M0068,8,4,M0068
L00239,Lección 1 de M0069,Contenido de la lección 1 del M0069,12,1,M0069
L00240,Lección 2 de M0069,Contenido de la lección 2 del M0069,15,2,M0069
L00241,Lección 3 de M0069,Contenido de la lección 3 del M0069,15,3,M0069
L00242,Lección 1 de M0070,Contenido de la lección 1 del M0070,6,1,M0070
L00243,Lección 2 de M0070,Contenido de la lección 2 del M0070,8,2,M0070
L00244,Lección 3 de M0070,Contenido de la lección 3 del M0070,8,3,M0070
L00245,Lección 4 de M0070,Contenido de la lección 4 del M0070,12,4,M0070
